Id,Division,Contact,Details_OtherContact,Value_Millions,Size,PricePerPerch,TownDistMetres,BusHaltDistMetres,Water & Electricity Availability,Water & Electricity Availability(Sp),NeighbouringLands,Level,NearbyLocations,Parks,Schools,Temples,Churches,Mosques,Kovils,ShoppingCenters,Other,OtherDescribe,AdditionalResource,ResourcesDescribe,Resource_Valuation,Resource_Valuation(Sp),LandUse,Describe
1,Moratuwa,Telephone, , ,13.2,0.99,560,452,Both,2,1,Flat,2,0,0,0,1,0,0,1,0, ,None, ,No Resources,0,Residential, 
2,Moratuwa,Telephone, , ,63,4.5,800,410,Both,2,0,Flat,4,0,1,1,1,0,0,0,1,Egoda Uyana Station,Building,Old Fashioned House(1)  & Furniture,150-200,4,Commercial & Residential,Restaurant or residence
3,Moratuwa,Telephone, , ,8,1,1000,500,Both,2,1,Flat,3,0,1,1,1,0,0,0,0, ,None, ,No Resources,0,Commercial & Residential, 
4,Dehiwala,Other,simpleproperty.lk,105,29,3.620689,263,243,Both,2,0,Non-Flat,2,0,0,0,0,0,0,1,1,Dehiwala Station,Building,Old House(1),0-50,1,Residential,Sold at land value
5,Dehiwala,Telephone, , ,41.31,2.9,50,180,Both,2,0,Flat,2,0,0,0,0,0,0,1,1,Hospital,Building,House(1),0-50,1,Commercial & Residential,Nearby Hospital
6,Dehiwala,Other,Magazine(Direct),140.8,35.2,4,500,400,Both,2,0,Flat,2,0,0,0,0,0,0,1,1,Kohuwala Police Station,None, ,No Resources,0,Residential,Close to Nugegoda & Kohuwala
7,Dehiwala,Other,Magazine(Direct), ,12,2.6,1100,650,Both,2,0,Flat,1,0,1,0,0,0,0,0,0, ,None, ,No Resources,0,Commercial & Residential, 
8,Dehiwala,Telephone, ,60,11.5,5.2,800,80,Both,2,0,Flat,4,0,1,0,0,0,0,1,2,Kalubowila hospital & Police Station,Building,House(2),0-50,1,Residential,Residential Area
9,Dehiwala,Telephone, ,24,10,2.4,1600,1100,Both,2,0,Flat,1,0,0,0,0,0,0,1,0, ,Building,House(1),0-50,1,Residential,Residential Area
10,Dehiwala,Telephone, ,29.95,5.75,5.208695,350,100,Both,2,0,Flat,2,0,1,0,0,0,0,1,0, ,Building,House(2),0-50,1,Residential,Two floors with 2 units
11,Dehiwala,Telephone, ,130,15.5,8.387096,180,20,Both,2,0,Flat,5,0,1,1,0,0,0,1,2,"Nugegoda Station, Kalubowila Police Station",Building,House(2),50-100,2,Commercial & Residential,Office or Restaurant
12,Dehiwala,Telephone, ,47.5,14.4,3.2986,650,150,Both,2,0,Flat,3,0,1,0,0,0,0,1,1,Dehiwala Station,None, ,No Resources,0,Commercial,Sheet roof garage
13,Ratmalana,Telephone, , ,7,1.3,610,550,Both,2,3,Flat,2,0,0,1,0,0,0,1,0, ,None, ,No Resources,0,Residential, 
14,Ratmalana,Telephone, ,30,10.5,2.8571,600,500,Both,2,0,Flat,3,0,0,1,1,0,0,1,0, ,Building,House(2),0-50,1,Residential,House with parking space
15,Ratmalana,Telephone, , ,20,1.6,350,400,Both,2,0,Flat,2,0,0,0,1,0,0,1,0, ,None, ,No Resources,0,Residential,Acces to aththdiya & maliban junctions
16,Ratmalana,Telephone, , ,31,1.3,700,400,Both,2,0,Flat,0,0,0,0,0,0,0,0,0, ,Building,House(1),0-50,1,Residential,Urgent as migrating
17,Ratmalana,Telephone, , ,16.5,1.7,650,300,Both,2,0,Flat,3,0,1,1,0,0,0,1,0, ,None, ,No Resources,0,Commercial & Residential,Can be used as showroom
18,Ratmalana,Telephone, , ,9.1,2.3,0,10,Both,2,0,Flat,3,0,0,1,1,0,0,1,0, ,None, ,No Resources,0,Commercial & Residential,To build a shop or complex
19,Colombo,Telephone, , ,19,9,250,250,Both,2,0,Flat,4,1,1,0,0,0,0,1,1,National Hospital,None, ,No Resources,0,Commercial,"Medical equp. showroom, office, restaurant etc.."
20,Colombo,Telephone, , ,50,13,900,400,Both,2,1,Flat,2,0,1,0,0,0,0,0,1,Dematagoda Station,None,Old shed(Unused),No Resources,0,Commercial & Residential,Can use as a store room
21,Colombo,Telephone, , ,27,7.3,500,500,Both,2,0,Flat,5,1,1,1,1,0,0,0,1,National Hospital,None, ,No Resources,0,Commercial & Residential,Store room or Office
22,Colombo,Telephone, , ,10,15,250,25,Both,2,0,Flat,3,1,1,0,0,0,0,0,1,General Hospital,Building,Shed,No Resources,0,Commercial & Industrial,used for retaraurant
23,Colombo,Telephone, ,7.5,1.17539,6.38,190,160,Both,2,0,Flat,6,1,2,1,0,0,0,1,1,Maradana Police Station,Building,Comm Shop in a complex,No Resources,0,Commercial,For a small Shop
24,Colombo,Telephone, ,145,3,48.33,310,61,Both,2,0,Flat,3,0,1,1,0,0,0,0,1,Dematagoda Station,Building,Building(4)-Both priced together,No Resources,0,Commercial,Each floor can be rented or can use as an office
25,Colombo,Telephone, , ,72.48,14.5,300,210,Both,2,0,Flat,6,1,1,1,1,0,0,1,1,Nawaloka Hospital,None, ,No Resources,0,Commercial & Residential,Office or residence
26,Colombo,Telephone, , ,10.5,2.2,320,50,Both,2,0,Flat,6,1,1,0,1,1,1,0,1,Pearl Hospital,Building,Small Building(sold at land value),No Resources,0,Residential,Can build an office after some repairs
27,Colombo,Telephone, , ,7,1.65,700,450,Both,2,0,Flat,3,0,1,0,0,1,0,0,1,Grandpass Police Station,None, ,No Resources,0,Commercial & Residential,Store house or house
28,Colombo,Telephone, , ,8.1,4,250,200,Both,2,0,Flat,5,0,1,0,1,0,1,1,1,Aquinas,None, ,No Resources,0,Commercial & Residential,For flat or 3 storey House
29,Colombo,Telephone, , ,37.5,7.5,1000,450,Both,2,0,Flat,3,0,1,0,0,0,0,1,1,Keselwaththe Polie Station,None, ,No Resources,0,Commercial,Sold at urgency. Suitalbe for store keeping
30,Colombo,Telephone, , ,47,6.7,20,20,Both,2,0,Flat,6,0,1,1,1,0,0,1,2,Police & Railway Stations,None, ,No Resources,0,Commercial & Residential,Ideal fora building complex
31,Colombo,Telephone, , ,10,2.8,250,50,Both,2,0,Flat,4,1,0,0,1,0,0,0,2,"Bluemendhal Police Station, Pearl Hospital",None, ,No Resources,0,Commercial,4 km to Galle Face
32,Colombo,Telephone, ,38,13,2.923076,400,50,Both,2,0,Flat,3,0,1,1,0,0,0,0,1,Sugathadasa Stadium,Building,Building(2),0-50,1,Commercial & Residential,Office after few modifications
33,Colombo,Telephone, , ,22,8.5,600,610,Both,2,0,Flat,2,0,1,0,0,0,0,1,0, ,Building,Building(1),50-100,2,Commercial & Residential,Can modifiy to an office
34,Colombo,Telephone, ,36,11.37,3.166220913,350,100,Both,2,0,Flat,4,1,1,1,0,0,0,0,1,Dematagoda Railway Station,Building,Building(1),0-50,1,Residential,House with access to main Rd
35,Colombo,Telephone, ,420,30,14,250,110,Both,2,0,Flat,4,1,1,0,0,0,0,1,1,National Hospital,None, ,No Resources,0,Commercial & Residential,Acess to main commercial plces and schools
36,Colombo,Telephone, , ,16.4,16,600,100,Both,2,0,Flat,4,0,0,1,1,0,0,1,1,Durdans Hospital,None, ,No Resources,0,Commercial & Residential,Ideal for commercial place
37,Colombo,Telephone, , ,27,20,300,100,Both,2,0,Flat,3,0,0,1,1,0,0,1,0, ,None, ,No Resources,0,Commercial & Residential, 
38,Colombo,Telephone, , ,25,14,750,300,Both,2,1,Flat,5,0,3,0,0,0,0,1,1,Durdans Hospital,None, ,No Resources,0,Commercial & Residential,Suitable for an outlet store
39,Colombo,Telephone, , ,8,18.5,630,120,Both,2,0,Flat,3,0,0,0,1,0,0,1,1,Durdans Hospital,None, ,No Resources,0,Commercial & Residential,Commercial purposes
40,Colombo,Telephone, , ,24.5,15,80,60,Both,2,0,Flat,7,1,3,1,1,0,0,1,0, ,None, ,No Resources,0,Commercial & Residential,Ideal for commercial building
41,Colombo,Telephone, , ,23,18,300,80,Both,2,0,Flat,6,1,1,1,0,0,1,1,1,Nawaloka Hospital,None,Building(1),0-50,1,Commercial & Residential,Livable House
42,Colombo,Telephone, , ,31.75,4,1200,1100,Both,2,0,Flat,4,1,0,1,1,0,0,0,1,Krulapana Railway Station,None, ,No Resources,0,Residential,more suitable who has Private Transport
43,Colombo,Telephone, , ,30,18,210,90,Both,2,0,Flat,3,0,0,0,1,0,0,1,1,Kollupitiya Railway,None, ,No Resources,0,Commercial,"Apartment, Hotel, Guest House"
44,Colombo,Telephone, ,340,17,20,300,210,Both,2,0,Flat,3,0,0,0,0,1,0,1,1,Durdans Hospital,Building,Old Building(1),No Resources,0,Commercial & Residential,"Hotel, Guest House"
45,Colombo,Telephone, ,165,8,20.625,500,40,Both,2,0,Flat,4,0,2,0,0,0,0,1,1,Durdans Hospital,Building,Building(2),0-50,1,Commercial & Residential,One floor can be rented while living
46,Colombo,Telephone, ,37.5,11.5,3.26086,600,100,Both,2,0,Flat,8,0,3,0,1,1,1,0,2,"Pearl Hosptal,Modara Police Station",Building,Building(1),0-50,1,Commercial & Residential,Office or Residence
47,Colombo,Telephone, ,57,5.7,10,800,200,Both,2,0,Flat,8,1,1,0,1,1,1,1,2,"Kompachawediya Railway Station, Ratnam Hospital",Building,Building(3),0-50,1,Commercial,Commercial building
48,Colombo,Telephone, ,90,7.92,11.363,550,60,Both,2,0,Flat,4,0,0,1,1,1,1,0,0, ,Building,Building(3),50-100,2,Commercial,Business/Shop
49,Colombo,Telephone, ,70,10,7,350,10,Both,2,0,Flat,6,0,1,1,0,1,0,1,2,"Dematagoda Railway, Dematagoda Police Station",Building,Building(3),0-50,1,Commercial,Office wear
50,Colombo,Telephone, , ,35,2.9,700,500,Both,2,0,Flat,4,0,1,0,1,1,0,0,1,Grandpass Polce Station,None, ,No Resources,0,Commercial & Residential,"Warehouse, Storage"
51,Colombo,Telephone, ,325,69.788,4.65696,0,5,Both,2,0,Flat,5,0,1,1,1,0,0,1,1,Medi House,Building,Building(8),50-100,2,Commercial,Office Complex/Showroom
52,Colombo,Telephone, ,10,3.3,3.03,370,60,Both,2,0,Non-Flat,10,1,2,1,1,1,1,1,2,Modara Police Station/Pearl Hospital,Building,Building(1),0-50,1,Residential,Residential Area
53,Colombo,Telephone, ,75,15,5,660,600,Both,2,0,Flat,4,0,0,1,1,0,0,1,1,Narahenpita Railway Station,Building,Building(1),0-50,1,Residential,Residential Area
54,Colombo,Telephone, ,130,10.9,11.926,800,650,Both,2,0,Flat,7,1,2,1,0,1,1,0,1,Royal Hospital,Building,Building(2),0-50,1,Commercial & Residential,Restaurent/Resident with 2 anexxes rent
55,Colombo,Telephone, ,92.7,12,7.725,730,402,Both,2,0,Flat,6,1,1,1,0,0,0,1,2,"Western Hospital, Cotta Railway Station",Building,Building(2),0-50,1,Residential,Residence while renting one floor
56,Colombo,Telephone, , ,22,15,450,100,Both,2,0,Flat,5,0,1,1,1,0,0,1,1,Bambalapitiya Police Station,None, ,No Resources,0,Commercial & Residential,Office/Residential
57,Colombo,Telephone, , ,13.7,15,800,130,Both,2,0,Flat,6,0,2,0,1,0,0,2,1,Durdans Hospital,None, ,No Resources,0,Commercial & Residential,Flat/Office/Residential Home
58,Colombo,Telephone, , ,7.5,14.5,800,700,Both,2,0,Flat,2,0,0,0,0,0,0,1,1,BIMCH,None, ,No Resources,0,Residential,Residential Area
59,Colombo,Telephone, , ,16.5,12,800,650,Both,2,0,Flat,4,0,1,0,0,1,0,1,1,BMICH,Building,Building(2)-Sold at Land Value,No Resources,0,Commercial & Residential,Residential Area/Office
60,Colombo,Telephone, ,300,16.57,18.105,800,400,Both,2,0,Flat,6,0,1,1,1,1,0,1,1,BMICH,Building,Building(2),50-100,2,Residential,Luxuary house
61,Colombo,Telephone, ,144.845,23.75,6.1,700,280,Both,2,0,Flat,5,0,0,1,1,1,0,1,1,Kirulapana :Libaray,Building,Building(1),0-50,1,Commercial & Residential,Residential/Apartment/Office
62,Colombo,Telephone, ,240,16,15,500,100,Both,2,0,Flat,6,1,1,1,0,0,0,1,2,Narahenpita Railway/Lanka Hospital,Building,Building(3),100-150,3,Residential,Luxary Residential House
